dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
flickr,CDP,MC,1024,242364,2000,10,0.01,2,8.38E-09,3.141574641,8.38E-08,,,permutation,,,,10,97056.5,211374.05,25.36587845,97467,96324,195291238.4
flickr,FDP,MC,1,242364,2000,10,0.01,2,8.38E-09,0.200746506,2.10E-11,4.425441089,,,laplace,,,10,93468.4,5921155.24,18.63749857,97187,88832,523970.4
flickr,FDP,MC,4,242364,2000,10,0.01,2,8.38E-09,0.200746506,2.10E-11,4.425441089,,,laplace,,,10,87584.9,11924635.29,20.12310819,92760,81168,2113570.9
flickr,FDP,MC,16,242364,2000,10,0.01,2,8.38E-09,0.200746506,2.10E-11,4.425441089,,,laplace,,,10,79174.5,13534043.05,20.75247834,84664,71381,8491227.8
flickr,FDP,MC,64,242364,2000,10,0.01,2,8.38E-09,0.200746506,2.10E-11,4.425441089,,,laplace,,,10,67202.5,33296310.05,22.20570397,76012,58858,34009403.8
flickr,FDP,MC,256,242364,2000,10,0.01,2,8.38E-09,0.200746506,2.10E-11,4.425441089,,,laplace,,,10,47282.2,33560037.56,28.52054153,54721,38303,136089882.2
flickr,FDP,MC,1024,242364,2000,10,0.01,2,8.38E-09,0.200746506,2.10E-11,4.425441089,,,laplace,,,10,25122,155475356.8,51.99362533,50918,12086,544422350.9
flickr,FDP_Lazy,MC,1,242364,2000,10,0.01,2,8.38E-09,0.51912339,1.95E-10,1.448951859,,,laplace,,16,10,93448,2961121,11.48505807,95864,90798,66322.6
flickr,FDP_Lazy,MC,4,242364,2000,10,0.01,2,8.38E-09,0.51912339,1.95E-10,1.448951859,,,laplace,,16,10,94301.9,1726660.49,15.36546013,96532,91408,266339.7
flickr,FDP_Lazy,MC,16,242364,2000,10,0.01,2,8.38E-09,0.51912339,1.95E-10,1.448951859,,,laplace,,16,10,90783.1,5285516.69,15.03029764,93756,87547,1080934.7
flickr,FDP_Lazy,MC,64,242364,2000,10,0.01,2,8.38E-09,0.51912339,1.95E-10,1.448951859,,,laplace,,16,10,86227,7139486.4,14.39336614,89908,81763,4340758.9
flickr,FDP_Lazy,MC,256,242364,2000,10,0.01,2,8.38E-09,0.51912339,1.95E-10,1.448951859,,,laplace,,16,10,76672.2,30853851.56,15.71438519,85942,67390,17400942.9
flickr,FDP_Lazy,MC,1024,242364,2000,10,0.01,2,8.38E-09,0.51912339,1.95E-10,1.448951859,,,laplace,,16,10,62398.1,87560539.89,20.8306034,76057,47002,69514031.7
flickr,FDP_PF,MC,1,242364,2000,10,0.01,2,8.38E-09,2.443832176,4.19E-08,,,,,0.8,2,10,97430.1,41580.89,36.16673651,97629,97042,22225.9
