dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,8,1.69E-09,1.152342314,3.00E-11,0.46011548,,,laplace,,16,10,110058.7,397836.21,41.60673311,110626,108550,2261302
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,12,1.69E-09,1.423120591,3.00E-11,0.31813639,,,laplace,,16,10,110126.5,212737.85,40.58894785,110626,109241,2264590.8
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,16,1.69E-09,1.626277334,3.00E-11,0.246630632,,,laplace,,16,10,109795,1334850.2,42.4716136,110626,106722,2267019.2
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,20,1.69E-09,1.788107776,3.00E-11,0.203381084,,,laplace,,16,10,109535.7,894676.41,41.44900156,110626,107775,2268608.6
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,0.05,1.69E-09,0.223393728,8.45E-09,,,,,0.8,2,10,8474.6,47309988.44,149.7081487,21123,1728,1069900.6
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,0.1,1.69E-09,0.406299484,8.45E-09,,,,,0.8,2,10,12698.7,71740924.01,146.51318,25891,2530,1069918.8
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,0.25,1.69E-09,0.814410887,8.45E-09,,,,,0.8,2,10,46812.8,171045585.2,145.7278538,65655,21971,1069925.4
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,0.5,1.69E-09,1.261726123,8.45E-09,,,,,0.8,2,10,93710.8,16062491.16,147.0804179,100578,87385,1069967.5
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,1,1.69E-09,1.812723128,8.45E-09,,,,,0.8,2,10,106502.1,10593470.29,145.2133993,110626,100213,1069912.4
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.69E-09,2.443832176,8.45E-09,,,,,0.8,2,10,109310.2,989937.36,146.551428,110626,107001,1.02 
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,4,1.69E-09,3.141574641,8.45E-09,,,,,0.8,2,10,109963.9,500001.09,146.1207966,110626,108112,1069740.3
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,8,1.69E-09,3.915665758,8.45E-09,,,,,0.8,2,10,109620.3,812547.21,144.7795535,110626,108049,1069729.7
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,12,1.69E-09,4.421390127,8.45E-09,,,,,0.8,2,10,109735.7,436043.81,145.1703964,110626,108616,1069713.9
